Carimbo de data/hora;Notificação/Atualização;Nome(s) do(s) Técnico(s);Regional de Saúde;Tipologia;"Caso tenha selecionado “Outros” nas tipologias de eventos, especifique qual(is):  ";"Informe o número de municípios afetados, especificando quais são eles.";"Informe o número de municípios que não preencheram a comunicação de desastres (Formulário do REDCap), especificando quais são eles.  ";"Informe o número de municípios que publicaram decreto de situação de emergência, especificando quais são eles.  ";"Informe o número de municípios sem abastecimento de energia elétrica, especificando quais são eles.  ";"Informe o número de municípios sem abastecimento de água, especificando quais são eles.  ";"Informe o número de municípios com vias de acesso comprometidas, especificando quais são eles.  ";Informe o número de abrigos temporários abertos por município;Informe o número de pessoas desabrigadas por município.  ;Informe o número de pessoas desalojadas por município  ;Informe o número de pessoas feridas por município.  ;Informe o número de óbitos por município.  ;Informe o número de estabelecimentos de saúde afetados por município.;Informe o número de kits de medicamentos e insumos estratégicos solicitados por município.;"Informe a ocorrência de surtos em decorrência do evento, por município. ";Observações;Houve comprometimento da estrutura física da regional?;Há abastecimento de energia elétrica?;Há abastecimento de água?;Houve danos:;  Houve comprometimento da Rede de Frio?  ;Houve necessidade de remanejamento de imunobiológicos?;Por meio de qual(is) instância(s) a UDVE e/ou a UDVISA estabeleceram contato com o(s) município(s) afetado(s) e obtiveram as informações e os dados utilizados para o preenchimento deste formulário? ;"Caso tenha selecionado a opção “Outros”, especifique a(s) instância(s), setor(es) ou instituição(ões) por meio da(s) qual(is) foram obtidas as informações e os dados utilizados para o preenchimento deste formulário. ";Informações adicionais poderão ser descritas aqui
3/1/2026 15:16:05;Atualização (Enviar às 15h).;UDVE - Kelen Cristina de Almeida Barp - UDVISA - Alex lucas Carlos;Florianópolis;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Outros";"Erosão costeira marinha, transporte de produtos perigosos, Incêndios";"21 municípios: São josé, Biguaçu, Canelinha, Angelina, Palhoça, Major Gercino, Tijucas, Águas Mornas, São Pedro de Alcântara, Rancho Queimado, Gov. Celso Ramos, Garopaba, Antônio Carlos, Paulo Lopes, São João Batista, Santo Amaro da Imperatriz, Leoberto leal e São Bonifácio.";"08 Municípios: São Pedro de Alcântara, Nova Trento, Major Gercino, Águas Mornas, Santo Amaro da Imperatriz, Anitápolis, São Bonifácio e Garopaba.";"21 municípios: São José, Biguaçu, Canelinha, Angelina, Palhoça, Major Gercino, Tijucas, Águas Mornas, São Pedro de Alcântara, Rancho Queimado, Gov. Celso Ramos, Garopaba, Antônio Carlos, Paulo Lopes, São João Batista, Santo Amaro da Imperatriz, Leoberto leal e São Bonifácio.";"05 Municípios: Canelinha, Biguaçu, Gov. Celso Ramos, São José e Florianópolis. ";"06 Municípios: Tijucas, Canelinha, Gov. Celso Ramos, São José, Florianópolis e Paulo Lopes";"05 Municípios: São Pedro de Alcântara, Rancho Queimado, Garopaba, Paulo Lopes, Leoberto Leal";"05 Municípios: Tijucas, Biguaçu, Florianópolis, Palhoça e São João Batista.";"São José 566, Nova trento 150, Canelinha 113, Gov. Celso Ramos 100, Major Gercino 36, Águas Mornas 23, Tijucas 20, São Pedro de Alcântara 17, Angelina 15, Rancho Queimado 10, Santo Amaro 10, Anitápolis 09, Biguaçu 06,";"São josé 1600, Nova trento 150, Canelinha 322, Gov. Celso Ramos 08, Major Gercino 53, Aguas mornas 57, Tijucas 30, São pedro de Alcântara 31, Angelina 15,, Rancho Queimado 10, Anitápolis 27, Biguaçu 12, São Bonifácio 15, Antônio Carlos 10, Paulo Lopes 10, São João Batista 100, Leoberto Leal 13.";"São Jose 23, Canelinha 12, Angelina 05, Rancho Queimado 02, Santo Amaro 10, Anitápolis 02, Biguaçu 04, Paulo lopes 02, Palhoça 16.";"São José 17, Palhoça 02";"Gov. Celso Ramos 01, Tijucas 01, Biguaçu 1, Canelinha 01, São José 01, Florianópolis 01, Biguaçu 01, Palhoça 01";Não foi solicitado;Não Informado;Não encontramos a informação de surtos em nenhum formulário. ;Não;;;;;;;;
3/1/2026 15:21:18;Atualização (Enviar às 15h).;Raquel Faller/Josiane Verdi Schaade;Rio do Sul;"Chuvas intensas, Enxurrada, Movimento de massa";;"3 - Ibirama, Dona Emma e Rio do Oeste";25;3;2;2;1 Dona Emma;"2 em Rio do Oeste, 1 em Dona Emma e 2 em Ibirama";"Ibirama - 160, Dona Emma - 0 e Rio do Oeste - 77";"Ibirama - 50, Dona Emma - 100 e Rio do Oeste - 150";"Ibirama - 2, Dona Emma - 10  e Rio do Oeste - 3";Ibirama - 1;Ibirama - 1;Ibirama - 1;;;Não;;;;;;;;
3/1/2026 15:23:25;Atualização (Enviar às 15h).;UDVE - Andréa Silveira Bortolotto UDVE	- Sandra Léa Kiihl Benkendorf  UDVISA - Solange Bambinetti  UDVISA - Katiane Secco UDVISA - Kalinca Schwarz;Blumenau;Outros;22410. Desastres relacionados a transporte de produtos perigosos/ Extravasamento de produtos perigosos transportados no modal rodoviário.;1 - Indaial;0;1 - Indaial;0;1 Indaial: parcial;1 - Indaial (2 vias interditadas);1 - Indaial;Indaial:  DF 06 pesoas/ RedCap 4 pessoas;Indaial: DF 06 pessoas/ RedCap 4 pessoas;Indaial: DF 0 pessoas/ RedCap 2 pessoas;0;0;0;0;;Não;;;;;;;;
3/1/2026 15:24:12;Atualização (Enviar às 15h).;UDVISA - Ana Maria Zandoná Fachin;Joaçaba;Vendaval;;01 - Campos Novos;"06 - Brunópolis, Celso Ramos, Monte Carlo, Vargem e Zortéa (municípios do COREDEC Campos Novos - AMPLASC)";01 - Abdon Batista;1 - Campos Novos;0;0;0;0;05 - Campos Novos;0;0;01 - Campos Novos;0;0;;Não;;;;;;;;Apenas o município de Campos Novos preencheu a Comunicação de Desastres. (COREDEC Campos Novos - AMPLASC)
3/1/2026 15:29:49;Atualização (Enviar às 15h).;UDVE - Andréa Silveira Bortolotto UDVE	- Sandra Léa Kiihl Benkendorf  UDVISA - Solange Bambinetti  UDVISA - Katiane Secco UDVISA - Kalinca Schwarz;Blumenau;Outros;23120 - Incêndios em aglomerados residenciais;1 - Pomerode;1 - Pomerode;0;0;0;0;0;0;0;0;0;0;0;0;0;Não;;;;;;;;
3/1/2026 15:31:16;Atualização (Enviar às 15h).;"Katia Regina Valentini, Eliane Techio, Juceli Bonamigo";Joaçaba;Vendaval;;Água Doce e Erval Velho;Nenhum dos dois municípios preencheram o formulário do REDcap;"Água Doce - Decreto pronto, mas ainda sem assinatura;
Erval Velho - Decreto assinado";Os dois municípios sem luz;      Sem problemas no abastecimento de água nos dois municípios;Sem problemas de comprometimento nas vias públicas;"Água Doce - 1, Erval Velho - 1";"Água Doce - 20,  Erval Velho - 27";"Água Doce -  zero, Erval Velho - 35";zero;zero;Não;zero;zero;zero;Não;;;;;;;;
3/1/2026 15:31:50;Atualização (Enviar às 15h).;UDVE - Andréa Silveira Bortolotto UDVE	- Sandra Léa Kiihl Benkendorf  UDVISA - Solange Bambinetti  UDVISA - Katiane Secco UDVISA - Kalinca Schwarz;Blumenau;Outros;11321 Deslizamentos;1 Timbó;1 Timbó;0;0;0;1 Timbó (1 via interditada);0;0;0;18;2;0;0;0;0;Não;;;;;;;;Deslizamento em Pedreira
3/1/2026 15:34:30;Atualização (Enviar às 15h).;"Moyra Feltrin - Gerente regional de Saude;  Tiago Moreti UDVE;  Daiane Godinho UDVISA, Daniela Pinto Dasoler UDVISA";Criciúma;"Chuvas intensas, Alagamento, Enxurrada, Vendaval, Movimento de massa";Colapso de edificações e Extravasamento de produtos perigosos transportados no modal dutoviário;"12 - Balneário Rincão;  Cocal do Sul; Criciúma; Forquilhinha; Içara; Lauro Muller; Morro da Fumaça; nova veneza; Orleans; SIDERÓPOLIS; Treviso; Urussanga";x;"11 - Balneário Rincão;  Cocal do Sul; Forquilhinha; Içara; Lauro Muller; Morro da Fumaça; nova veneza; Orleans; SIDERÓPOLIS; Treviso; Urussanga";"2 - Lauro Muller (Parcial) , Treviso (total)";2 - Lauro Muller e Orleans;"10 - Balneário RIncao (5); Cocal do Sul (2); Forquilhinha (2); Lauro Muller (7); Morro da Fumaça (5), Nova Veneza (1), Orleans (2), Siderópolis (30 ruas) ; Treviso ( 1), Urussanga (2) ";"Balneário RIncao (1), Cocal do Sul (1), Forquilhinha (1), Içara (1), Lauro Muller (1), Morro da Fumaça (2), Nova Veneza (1), Orleans (1), Siderópolis (1), Treviso (1)";"Balneário RIncão (4) ; Cocal do Sul (8), Forquilhinha (24); Lauro Muller (5); Morro da FUmaça (75),  Nova Veneza(18),  Orleans (5), Siderópolis (12),  Treviso (18) Urussanga (48)";" Cocal do Sul (20), Içara (3); Lauro Muller (80); Morro da FUmaça (44),  Nova Veneza(65),  Orleans (5), Siderópolis (40),  Treviso (18) Urussanga (64)";"Criciúma (1), Içara (1), Lauro Muller (5), Nova Veneza (2), Orleans (10), Urussanga (4)";Lauro Muller (1);"Lauro Muller (1), Nova Veneza (2), Siderópolis 1, Urussanga (1)";x;x;"Siderópolis colocou no formulário 30 vias de acesso interrompidas (acreditamos que seja ruas na verdade) , Treviso colocou desabrigados, mas não colocou numero de abrigos (vai corrigir informação, e Lauro Muller apareceu no relatório formulário incompleto.";Não;;;;;;;;x
3/1/2026 15:36:03;Atualização (Enviar às 15h).;UDVE - Andréa Silveira Bortolotto UDVE	- Sandra Léa Kiihl Benkendorf  UDVISA - Solange Bambinetti  UDVISA - Katiane Secco UDVISA - Kalinca Schwarz;Blumenau;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Microexplosão, Granizo, Outros";11321 - Deslizamentos;11:  Apiúna: 13213 - Tempestade Local/Convectiva - Granizo Ascurra: 11321 - Deslizamentos Benedito Novo: 13214 - Tempestade Local/Convectiva - Chuvas Intensas Blumenau: 13214 - Tempestade Local/Convectiva - Chuvas Intensas Botuverá: 13214 - Tempestade Local/Convectiva - Chuvas Intensas Brusque: 13214 - Tempestade Local/Convectiva - Chuvas Intensas Doutor Pedrinho: 12300 - Alagamentos Gaspar: 12100 - Inundações Guabiruba:  13214 - Tempestade Local/Convectiva - Chuvas Intensas Rio dos Cedros: 11321 - Deslizamentos  Rodeio: 13214 - Tempestade Local/Convectiva - Chuvas Intensas;"05: Apiúna, Botuverá, Brusque, Guabiruba, Rio dos Cedros";"06: Botuverá, Doutor Pedrinho, Gaspar, Guabiruba, Ascurra, Blumenau";"03,
Blumenau: parcial 
Gaspar: parcial
Benedito Novo: parcial
";0;"09
Apiuna: 0
Ascurra: 0,
Benedito Novo: 5,
Blumenau: 3
Botuverá: 5
Brusque: 5
Doutor Pedrinho: 7 
Gaspar: 154
Guabiruba: 2
Rio dos Cedros: 1
Rodeio: 50
";Rodeio: 1  Ascurra: 1 Doutor Pedrinho: 1;Apiúna: 58 Ascurra: 1.370 Brusque: 46 Blumenau: 0 Gaspar: DF 85 /  RedCap: 0 Guabiruba: 45 Rodeio: DF 80/ RedCap 20 Benedito Novo: DF 76 / RedCap: 0 Doutor Pedrinho: 24  Rio dos Cedros: 3 Botuverá: 15;Apiúna: 31 Ascurra: 58 Blumenau: 0 Brusque: 75 Gaspar:  DF 300/ RedCap - 0 Guabiruba: 50 Rodeio: DF 2.500/ RedCap 20 Benedito Novo: 20 Doutor Pedrinho: 116 Rio dos Cedros: 0 Botuverá: 10;Apiúna: 0 Ascurra: 0 Benedito Novo: 1 Blumenau: 0 Botuverá: 10 Brusque: 0 Doutor Pedrinho: 1 / RedCap: 0 Gaspar: 0 Guabiruba: 0 Rio dos Cedros: 0 Rodeio: DF 0 / Redcap: 2 Botuverá : 0;Apiuna: 0 Ascurra: 0 Benedito Novo: 0 Blumenau: 0 Botuverá: 0 Brusque: 0 Doutor Pedrinho: 0  Gaspar: 0 Guabiruba: 0 Rio dos Cedros: 1 Rodeio: 0;Apiúna: Ascurra: 0 Benedito Novo:  Blumenau: 0 Botuverá:  Brusque:  Doutor Pedrinho:   Gaspar: 4 Guabiruba: Rio dos Cedros:  Rodeio: 0;0;0;0;Não;;;;;;;;
3/1/2026 15:39:07;Atualização (Enviar às 15h).;UDVE Fernanda de Menezes Siqueira de Melo / UDVISA Marcia Rodrigues da Silva;Joinville;"Chuvas intensas, Alagamento, Outros";Itapoá - Transporte rodoviário - Acidente no modal rodoviário envolvendo o transporte de passageiros ou cargas não perigosas - Vazamento de óleo diesel;"6 Araquari, Barra do Sul, Garuva, Itapoá, Joinville e São Francisco do Sul";"3 Barra do Sul, Garuva e Itapoá";"
6 Araquari, Barra do Sul, Garuva, Itapoá, Joinville e São Francisco do Sul";1 São Francisco do Sul;1 São Francisco do Sul;1 Itapoá;"Araquari 1, Joinville 1 e São Francisco do Sul 2";"Araquari 10; Garuva 4; Joinville 38; ";"Araquari 12; Barra do Sul 80; Garuva 13; Joinville 26; São Francisco do Sul 200";"Garuva 4; Barra do Sul 20";0;2 Joinville;0;0;Itapoá - Transporte rodoviário - Acidente no modal rodoviário envolvendo o transporte de passageiros ou cargas não perigosas - Vazamento de óleo diesel - Ocorrência encerrada após manejo com ações de contenção. Não houve comprometimento de mananciais nem pessoas envolvidas;Não;;;;;;;;"* Feito contato com CRRIH Joinville para averiguar demandas de necessidade de leitos para casos graves e moderados de pediatria, neonatos, gestante e adolescentes. 
Vítimas graves 
- 1 pediatria - Hospital Infantil de Joinville
- 1 Gestante - Hospital regional Hans Dieter Schimidt
Vítimas moderadas
- 1 neonatal - Hospital Infantil de Joinville
- 2 adolescentes - se maiores de 14 anos, para Hospital regional Hans Dieter Schimidt ou Hospital Municipal São José. Se menores de 14 anos, encaminhar ao Hospital Infantil de Joinville

* CIEVS Municipal de Joinville elaborou Nota de Alerta para rede assistencial para condutas diante das possíveis doenças que podem afetar a população em casos de enchentes 

*Participação ativa do município de São Francisco do Sul, envolvendo Defesa Civil, VE e Visa Municipal, atuando presencialmente in loco para atender as demandas"
3/1/2026 15:42:57;Atualização (Enviar às 15h).;Andreza Granoski UDVE Juliana Cássia Bonatto UDVS Claudete Gerhardt UDVS;Concórdia;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Vendaval, Tornado, Granizo";;"13 MUNICIPIOS Arabutã, Ipira, Irani, Seara, Xavaantina, Ipumirim, Piratuba, Concordia, Itá,Lindóia do Sul,Alto Bela Vista, Presidente Castello Branco e Peritiba";0;100% dos municipios. ;" 2  Lindóia do Sul, Xavantina"; 01 Lindóia do Sul;"Arabutã 5 acessos, Piratuba 2 acessos, Itá 01 acesso, Ipumirim 02 acessos,Irani 02 acessos, Concordia 02 acessos,Ipira 5, Seara 6, Presidente Castello Branco 01";Seara       Xavantina      Lindoia do Sul  16 abrigos na regional de Concordia;"Presidente Castello Branco 1,Arabutã 156 pessoas  Seara 94, Ipira 66, Irani 55, Xavantina 41, Ipumirim 37, Piratuba 20, Concordia 15, Itá 13, Lindoia do Sul 5  ";"Peritiba 18,Arabutã 25, Irani 115, Ipumirim 26, Piratuba 20,Concordia 25, Itá 20, Lindóia do Sul 15";"Peritiba 1, Presidente Castello Branco 1, Arabutã 9, Ipira 77, Irani 35, Ipumirim 2, Concordia 2, Lindóia do Sul 2 ";"Ipira 5,  Concórdia 01 ";Arabutã 01 UBS;0;0;foi colocado zero nas questões que não tivemos acesso a informação;Não;;;;;;;;A planilha é de dificil compreensão por não estar dividida por Regional e também por não estarmos na Defesa Civil e sim em nossas residencias para preencher os dados 
